number,ortho,mean
3672,ogudgy,-101
354,artywoffer,-101
4660,sangsh,-101
1830,farowso,-101
1246,dersazeal,-101
3253,moistoi,-100
5166,thermorzoi,-100
1804,eyumphs,-100
5580,uscoun,-100
5326,tormyto,-100
4424,quelloch,-100
3635,odlagoo,-100
1800,eyanuff,-100
700,boofav,-100
4366,pstar,-100
929,cheddaln,-100
2601,jabsteor,-100
3766,oncirc,-100
5553,urchimseal,-100
2897,layteru,-100
5988,ycarb,-100
4778,shevogner,-100
1521,eleoso,-100
2587,ivyroos,-100
1007,chwafter,-100
2623,janklug,-99
3470,noempha,-99
3838,orcusa,-99
1600,eppermpia,-99
793,buvnol,-99
564,baob,-99
5260,thwactet,-99
2206,goufortu,-99
794,bwifler,-99
1420,easybbishy,-99
4359,psadmia,-99
2150,gloronk,-99
346,artibi,-99
5690,verjo,-99
4878,smenfing,-99
4856,skiwip,-99
949,chessueather,-99
3943,osgeal,-99
5615,utupems,-99
2449,ieunual,-99
3662,ogav,-99
1697,erploff,-98
5577,urturoyer,-98
4920,soiliv,-98
1268,ditulab,-98
487,avlythin,-98
3037,lountma,-98
3706,oisteat,-98
2970,llocha,-98
5737,viverg,-98
1458,ecterau,-98
5800,voyalch,-98
3772,onhan,-98
1982,fraphi,-98
4761,shephaz,-97
4804,shriverg,-97
2725,jujua,-97
5784,vortelloch,-97
6033,yster,-97
537,aytenfowl,-97
158,amcarrac,-97
1413,easingri,-97
580,bartethre,-97
2662,jinrish,-97
2224,grilik,-97
841,ccasion,-97
1082,coshaccurs,-97
1008,chwan,-97
3438,nianinga,-97
3890,ornadiat,-97
2850,lacarc,-97
2740,jutelluff,-96
4567,roofamsa,-96
2596,jabirdar,-96
2197,gordeuth,-96
4881,snana,-96
3937,osellth,-96
1506,egibby,-96
61,adorscloy,-96
3116,mahak,-96
2360,heuri,-96
716,bornizog,-96
3999,ouforkshaw,-96
3932,osaunday,-96
628,biaru,-96
2450,iffid,-96
2361,heurodow,-96
2276,gymkilloy,-96
3758,ompong,-96
1700,erpraw,-96
1325,dowzither,-96
5683,venoi,-96
1891,finaverg,-96
5398,twagmesh,-96
1809,fabduum,-96
4368,pstool,-96
1280,docleso,-96
2961,llappeary,-95
1235,deloi,-95
3949,osmobam,-95
85,agadob,-95
848,cedovessay,-95
3115,magib,-95
3908,orslik,-95
3984,otoplur,-95
2127,gircua,-95
5587,usiumus,-95
146,almsa,-95
952,chicservo,-95
2876,larioroit,-95
2674,joineurn,-95
148,alru,-95
4784,shinnua,-95
4109,parhepoin,-95
2123,gircad,-95
6102,zukit,-95
1018,ciesodia,-95
882,chagroue,-94
2837,kyod,-94
2588,jabatia,-94
2802,kiwizoa,-94
1097,coyalloph,-94
5857,washassem,-94
426,auchef,-94
5939,woolwa,-94
4712,servog,-94
2446,ierstuffed,-94
3861,orfocad,-94
5651,varyunny,-94
2741,jutoop,-94
2493,ingorurter,-94
1936,fogiderth,-94
1265,dirgedel,-94
4928,sookabart,-94
5551,urchilether,-94
989,churcharou,-94
5616,uturoit,-94
5838,wakkifer,-94
364,asherowit,-94
3341,musspois,-94
3862,orfuret,-94
4373,puclouch,-94
4749,shebudg,-93
3025,loscowt,-93
3248,moicertip,-93
4040,outsdtiff,-93
4065,owgreavs,-93
25,ackdaw,-93
927,cheavogel,-93
3452,nitotiss,-93
5142,theasylish,-93
2005,fugepped,-93
2996,loiterf,-93
2974,lobbizod,-93
5263,thwagoo,-93
4137,pecieph,-93
5884,wereoso,-93
994,churlef,-93
3260,molvisar,-93
1596,ephrouch,-93
3044,loutind,-93
3762,omtollo,-93
