number,ortho,mean
1871,fervaterf,-1.118847697
3677,ogusel,-1.118744481
2359,heuraf,-1.118079361
5434,udderoue,-1.117749595
4354,progerp,-1.117409179
2556,itavio,-1.116727129
1452,ecknasooth,-1.116675958
5080,tarlenoi,-1.116604462
711,boosurlo,-1.115762712
1767,euki,-1.115264386
1412,eapotso,-1.115219201
1971,forwaccurs,-1.114397775
3985,ototow,-1.114043361
5612,utumeld,-1.114003743
353,artsuunny,-1.113971961
428,auchelped,-1.113936302
4998,ssuarium,-1.113424113
2864,lakply,-1.113271396
2189,goolual,-1.11326415
4360,psador,-1.112884449
2822,knowuky,-1.112859448
3454,niviou,-1.111569073
2618,jammquia,-1.11139546
5605,utlybud,-1.111012154
1556,emniani,-1.110710272
3073,luln,-1.110497691
502,ayalosh,-1.109296282
5063,sybuz,-1.109085152
1798,eyanth,-1.108120631
17,achadersa,-1.107885383
5239,thuddenoin,-1.107524465
424,aucajar,-1.107509225
2326,heathezi,-1.105187044
5685,veosoa,-1.104959929
975,chivinoia,-1.104842018
4018,ountlab,-1.103396834
920,cheapoi,-1.102790539
5628,vamboya,-1.102771082
2246,gulwa,-1.102387696
3667,ogniad,-1.102072204
2468,ilnelo,-1.101100043
3752,omleckshaw,-1.099438521
2247,gunb,-1.09846033
2838,kyodilia,-1.098355021
3685,oineuth,-1.098170368
6011,yfish,-1.097630547
3664,ogifirth,-1.09702657
4374,puddazook,-1.096678057
2672,jodunch,-1.096166561
3485,nooduve,-1.095985257
5956,worshebouch,-1.094879688
2783,kiag,-1.094461431
5975,yalwens,-1.094326703
5266,thwangstor,-1.094252978
3709,oistloyer,-1.093688856
2193,goosisia,-1.093647564
2584,ivul,-1.092452269
5288,tiastount,-1.0923898
1886,ficienout,-1.091973655
3858,oreagernoo,-1.091640174
5448,uggilth,-1.091401622
5595,ussicort,-1.090860047
918,chauverg,-1.090834231
1636,ercuz,-1.090441955
2256,gusbia,-1.089790464
5279,tiacoir,-1.08973561
92,aggeffener,-1.089663554
2819,knowdi,-1.088089887
